UserKey_4Map,yearmonth,Country,SalesRep_Code,salesrepemployeeid_z,Sales_MTD,Target_MTD,Sales_QTD,Target_QTD,Balance_MTD,Balance_QTD,%Achievement_MTD,%Achievement_QTD
ID_MR_MRBDME05,2024-08-01,ID,MRBDME05,hnwanti,47586867.3,157033178.0,183281208.55,307508676.0,109446310.7,124227467.44999999,0.3030370263537556,0.5960196340931857
ID_MR_MRBDNS01,2024-08-01,ID,MRBDNS01,snurmalasari,49207776.0,208379180.0,258316306.0,405181732.0,159171404.0,146865426.0,0.23614535770800135,0.6375319655329377
ID_MR_MRBDOB02,2024-08-01,ID,MRBDOB02,srezasari,106136363.0,366474200.0,445900461.0,1119454618.0,260337837.0,673554157.0,0.2896148296387577,0.3983193725143041
ID_MR_MRBDOL01,2024-08-01,ID,MRBDOL01,nvijayanti,170319417.0,436689514.0,975279831.0,1256797106.0,266370097.0,281517275.0,0.3900240595197805,0.7760041985647284
ID_MR_MRBDRE01,2024-08-01,ID,MRBDRE01,msahid,144633321.0,411585822.0,677103306.25,822287144.0,266952501.0,145183837.75,0.3514050126828713,0.8234390032613716
ID_MR_MRBDRE02,2024-08-01,ID,MRBDRE02,jjatnika,213466021.0,416046865.0,815886595.0,829917793.0,202580844.0,14031198.0,0.5130816717006148,0.9830932676484982
ID_MR_MRBDRE03,2024-08-01,ID,MRBDRE03,hheriyana,187766829.0,401580542.0,753147637.25,802510210.0,213813713.0,49362572.75,0.46756953926318473,0.9384897884975195
ID_MR_MRBDRX01,2024-08-01,ID,MRBDRX01,dapriyani,29475606.0,261516742.0,274452383.0,504019786.0,232041136.0,229567403.0,0.11271020652283899,0.544527001961784
ID_MR_MRBDVMX1,2024-08-01,ID,MRBDVMX1,,121063331.0,1329550992.0,779779808.0,2633690976.0,1208487661.0,1853911168.0,0.09105580134078829,0.29607870289486843
ID_MR_MRBGAB01,2024-08-01,ID,MRBGAB01,ppintorhot,131309767.0,317998608.0,362304848.0,641907648.0,186688841.0,279602800.0,0.41292560312087906,0.5644189614017499
ID_MR_MRBGCKX01,2024-08-01,ID,MRBGCKX01,ykputra,26447423.87999999,115890802.0,136452813.44,218607410.0,89443378.12,82154596.56,0.22820986155570822,0.6241911627789745
ID_MR_MRBGDC01,2024-08-01,ID,MRBGDC01,naini;vmagnesti,18530990.0,215780576.0,134529155.0,453647696.0,197249586.0,319118541.0,0.08587886056991524,0.29654984735114803
ID_MR_MRBGDC02,2024-08-01,ID,MRBGDC02,iprakosa,58774548.0,211672816.0,182263329.0,422298304.0,152898268.0,240034975.0,0.2776669631493918,0.4315985341963391
ID_MR_MRBGDP01,2024-08-01,ID,MRBGDP01,abudiarti,23928166.0,113120832.0,119295538.0,223530198.0,89192666.0,104234660.0,0.211527493008538,0.5336886875571059
ID_MR_MRBJCKX01,2024-08-01,ID,MRBJCKX01,mhilmansyah,109704084.0,255645020.0,335112870.0,484682145.0,145940936.0,149569275.0,0.4291266225330734,0.6914074996511373
ID_MR_MRBJDC01,2024-08-01,ID,MRBJDC01,lloreniawaty,26975997.0,186884928.0,152062768.0,372308568.0,159908931.0,220245800.0,0.14434549264454327,0.40843209388616597
ID_MR_MRBJRE01,2024-08-01,ID,MRBJRE01,ifauzan,290836722.0,856051958.0,1348575852.0,1706351042.0,565215236.0,357775190.0,0.33974190384364494,0.7903273235144777
ID_MR_MRBJVM01,2024-08-01,ID,MRBJVM01,akhaidir,54493565.0,360617786.0,262048740.0,712682068.0,306124221.0,450633328.0,0.15111169530612115,0.3676937469963114
ID_MR_MRBKAB01,2024-08-01,ID,MRBKAB01,pbrotoraharjo,46474352.0,162225768.0,121044036.0,327997792.0,115751416.0,206953756.0,0.2864794697720278,0.36903917938569536
ID_MR_MRBKABX1,2024-08-01,ID,MRBKABX1,,-14300000.0,0.0,121550000.0,0.0,14300000.0,-121550000.0,1.0,1.0
ID_MR_MRBKCN01,2024-08-01,ID,MRBKCN01,RPadminingsih,43112924.85,145221819.0,187728126.29999998,287119137.0,102108894.15,99391010.70000002,0.29687635884797725,0.653833555859427
ID_MR_MRBKDC01,2024-08-01,ID,MRBKDC01,wwarastri,44889538.0,264090096.0,424907200.0,524294960.0,219200558.0,99387760.0,0.16997811989132677,0.8104354083434256
ID_MR_MRBKDC02,2024-08-01,ID,MRBKDC02,gmsari,39341092.0,283243566.0,333183891.0,562064236.0,243902474.0,228880345.0,0.13889491844626756,0.5927861437531492
ID_MR_MRBLRE01,2024-08-01,ID,MRBLRE01,nmhutagalung,409471213.0,680499942.0,1307440380.0,1356236621.0,271028729.0,48796241.0,0.6017211578248746,0.9640208498690879
ID_MR_MRBLVM01,2024-08-01,ID,MRBLVM01,wfilly,77982485.0,336250013.0,325789845.0,666138362.0,258267528.0,340348517.0,0.23191816203736473,0.48907233629640445
ID_MR_MRBPVM01,2024-08-01,ID,MRBPVM01,arauf,137402158.0,283512799.0,302887697.0,560610478.0,146110641.0,257722781.0,0.4846418168232327,0.5402819049700316
ID_MR_MRBTCKX01,2024-08-01,ID,MRBTCKX01,aozega,15800948.0,447811765.0,912979722.0,850823309.0,432010817.0,-62156413.0,0.03528479873680854,1.0730544313284676
ID_MR_MRBTVM01,2024-08-01,ID,MRBTVM01,ipibriani,55268590.0,202856273.0,330998038.0,393445516.0,147587683.0,62447478.0,0.2724519640563445,0.841280493840982
ID_MR_MRCLME01,2024-08-01,ID,MRCLME01,rphartanti,7437652.0,104918967.0,34059603.0,204839486.0,97481315.0,170779883.0,0.07088948940947923,0.16627459707646405
ID_MR_MRCRDC01,2024-08-01,ID,MRCRDC01,zsuwardi,42490919.0,212085665.0,232128828.0,421715516.0,169594746.0,189586688.0,0.20034790658765175,0.5504393819837542
ID_MR_MRCRRE01,2024-08-01,ID,MRCRRE01,abasir,103188249.0,308660278.0,359676999.0,616733243.0,205472029.0,257056244.0,0.3343101019302523,0.583197035480703
ID_MR_MRCRRE02,2024-08-01,ID,MRCRRE02,bprasojo,166386071.0,364700478.0,653304536.0,728537643.0,198314407.0,75233107.0,0.4562266326396205,0.8967340840615974
ID_MR_MRCRVM01,2024-08-01,ID,MRCRVM01,afebriyani,105889347.0,295807638.0,413436528.0,585057596.0,189918291.0,171621068.0,0.35796691294360694,0.7066595337393072
ID_MR_MRDPAB01,2024-08-01,ID,MRDPAB01,mludfi,69745933.0,312562980.0,377666637.0,625125960.0,242817047.0,247459323.0,0.22314201445097562,0.6041448622610394
ID_MR_MRDPAL01,2024-08-01,ID,MRDPAL01,esetyorini,23450003.0,1593121344.0,166979835.0,3168139072.0,1569671341.0,3001159237.0,0.014719533504661902,0.052705967511264606
ID_MR_MRDPAL02,2024-08-01,ID,MRDPAL02,rusubiyanto,235402195.0,1755228416.0,750736789.0,3490511040.0,1519826221.0,2739774251.0,0.1341148495854798,0.21507933376999144
ID_MR_MRDPALZ1,2024-08-01,ID,MRDPALZ1,,1106361865.0,0.0,3705586731.0,0.0,-1106361865.0,-3705586731.0,1.0,1.0
ID_MR_MRDPCKX01,2024-08-01,ID,MRDPCKX01,imkputra,211035124.0,347510152.0,577543167.0,675457655.0,136475028.0,97914488.0,0.6072775796201776,0.8550397833599206
ID_MR_MRDPD101,2024-08-01,ID,MRDPD101,nkertiasih,103480909.0,227440160.0,369223042.0,449563920.0,123959251.0,80340878.0,0.45498081341483404,0.8212915351392078
ID_MR_MRDPD201,2024-08-01,ID,MRDPD201,ihindrawan,55843467.0,326346416.0,360553466.0,651960176.0,270502949.0,291406710.0,0.17111714504013428,0.5530298924270491
ID_MR_MRDPD202,2024-08-01,ID,MRDPD202,esari,131448381.0,625329280.0,946652451.0,1245992096.0,493880899.0,299339645.0,0.21020666264020132,0.7597579904712333
ID_MR_MRDPJA01,2024-08-01,ID,MRDPJA01,igpajariawan,56977465.0,222360796.0,219508661.0,433539932.0,165383331.0,214031271.0,0.2562388065925074,0.5063170536272539
ID_MR_MRDPNS01,2024-08-01,ID,MRDPNS01,dhsusanto,81816685.0,330279461.0,275969320.0,642210056.0,248462776.0,366240736.0,0.24771956679437598,0.42971815439775674
ID_MR_MRDPNS02,2024-08-01,ID,MRDPNS02,bamsantoso,35394910.0,246805140.0,144790765.0,479898892.0,211410230.0,335108127.0,0.1434123697747948,0.3017109799870094
ID_MR_MRDPRE01,2024-08-01,ID,MRDPRE01,ikduarsa,485488328.0,740114279.0,1376317841.0,1478675251.0,254625951.0,102357410.0,0.6559640068773758,0.9307776268448548
ID_MR_MRDPVM01,2024-08-01,ID,MRDPVM01,kjwidana,50823384.0,178984796.0,182584956.0,347818102.0,128161412.0,165233146.0,0.2839536381626515,0.5249437995035693
ID_MR_MRDPVM02,2024-08-01,ID,MRDPVM02,iggjayandika,103757224.0,305085644.0,452813408.0,611071692.0,201328420.0,158258284.0,0.3400921218043285,0.7410151933531229
ID_MR_MRHODBX1,2024-08-01,ID,MRHODBX1,,801802.0,0.0,40467254.0,0.0,-801802.0,-40467254.0,1.0,1.0
ID_MR_MRJBDC01,2024-08-01,ID,MRJBDC01,ekwahyudi,25059860.0,148188013.0,193562060.0,295344600.0,123128153.0,101782540.0,0.16910854996078528,0.6553770070622588
ID_MR_MRJBDC02,2024-08-01,ID,MRJBDC02,msinwanudin,47044929.0,235513033.0,295117643.0,469513460.0,188468104.0,174395817.0,0.1997550980543824,0.6285605592649037
ID_MR_MRJKAB02,2024-08-01,ID,MRJKAB02,upriyatna,264243695.0,828584368.0,982531832.0,1641801632.0,564340673.0,659269800.0,0.31890982403858237,0.5984473476269513
ID_MR_MRJKAB03,2024-08-01,ID,MRJKAB03,msyarip,11860572.0,240603518.0,116044237.0,481207036.0,228742946.0,365162799.0,0.04929508969191382,0.24115241116299888
ID_MR_MRJKAL02,2024-08-01,ID,MRJKAL02,ansanjaya;rpertiwi,5938637.0,932008256.0,5938637.0,1853425472.0,926069619.0,1847486835.0,0.006371871667196905,0.0032041412453405627
ID_MR_MRJKAL03,2024-08-01,ID,MRJKAL03,evtiomas,845052851.0,1486837808.0,1202617701.0,2944526192.0,641784957.0,1741908491.0,0.5683557725349422,0.40842486110919946
ID_MR_MRJKAL04,2024-08-01,ID,MRJKAL04,hrosady,107236376.0,827150560.0,311818683.0,1645185760.0,719914184.0,1333367077.0,0.12964553394003625,0.1895340274523164
ID_MR_MRJKAL05,2024-08-01,ID,MRJKAL05,lamaliah,271277424.0,1819048000.0,1285380615.0,3665870912.0,1547770576.0,2380490297.0,0.14913153693580378,0.3506344456353841
ID_MR_MRJKAL06,2024-08-01,ID,MRJKAL06,,17756366.0,879119168.0,418628239.0,1748248352.0,861362802.0,1329620113.0,0.020197905638203534,0.23945581788828135
ID_MR_MRJKAL07,2024-08-01,ID,MRJKAL07,nowibawa,47882456.0,1368985216.0,644899932.0,2722300096.0,1321102760.0,2077400164.0,0.034976605620261135,0.23689523904715024
ID_MR_MRJKAL08,2024-08-01,ID,MRJKAL08,satmaja,107857742.0,1005966880.0,648252361.0,2000502304.0,898109138.0,1352249943.0,0.10721798514877548,0.32404479600139463
ID_MR_MRJKAL09,2024-08-01,ID,MRJKAL09,lojsaleh,198550746.0,1719969024.0,1474025366.0,3420392960.0,1521418278.0,1946367594.0,0.11543855920047082,0.4309520523630127
ID_MR_MRJKALZ1,2024-08-01,ID,MRJKALZ1,,432001431.0,0.0,3866170894.0,0.0,-432001431.0,-3866170894.0,1.0,1.0
ID_MR_MRJKCK01,2024-08-01,ID,MRJKCK01,delestari,46573087.85,157803882.0,218895791.3,298948304.0,111230794.15,80052512.69999999,0.2951327132117067,0.7322195455572814
ID_MR_MRJKCK02,2024-08-01,ID,MRJKCK02,fakbar,120892188.7,271018425.0,347968849.6,515640519.0,150126236.3,167671669.39999998,0.4460663096983166,0.6748283673960076
ID_MR_MRJKCK03,2024-08-01,ID,MRJKCK03,ivbelly,14473672.7,265853324.0,307864071.6000001,518732546.0,251379651.3,210868474.39999992,0.05444232361751474,0.593492877927116
ID_MR_MRJKCK04,2024-08-01,ID,MRJKCK04,nwirdah,72207054.29,186505913.0,250938085.02000004,349690844.0,114298858.71,98752758.97999996,0.3871569170571016,0.7175998151670223
ID_MR_MRJKCK05,2024-08-01,ID,MRJKCK05,fsetiawan,18671592.85,135171969.0,122364736.29999995,263320455.0,116500376.15,140955718.70000005,0.13813213633072108,0.4646989399285367
ID_MR_MRJKCK06,2024-08-01,ID,MRJKCK06,hdgunawan,33444619.879999995,110978658.0,106062267.44000004,217365280.0,77534038.12,111303012.55999996,0.30136082452898283,0.48794484307705466
ID_MR_MRJKCK07,2024-08-01,ID,MRJKCK07,daji,29213474.18999999,148293814.0,187110584.22,279149519.0,119080339.81,92038934.78,0.19699725431567894,0.6702880409405255
ID_MR_MRJKCK08,2024-08-01,ID,MRJKCK08,abachtiar,91349657.29,209010418.0,299262748.02,391712534.0,117660760.71,92449785.98000002,0.4370579139744125,0.7639856324331965
ID_MR_MRJKCKX01,2024-08-01,ID,MRJKCKX01,rikurniawan,25488059.879999995,103656268.0,178710004.43999997,206327890.0,78168208.12,27617885.560000032,0.24589019431029482,0.8661456502075409
ID_MR_MRJKCM1XX,2024-08-01,ID,MRJKCM1XX,,9274424.14,773637252.0,896334416.1399999,1456397260.0,764362827.86,560062843.8600001,0.011988078542008989,0.6154463763135615
ID_MR_MRJKCM2XX,2024-08-01,ID,MRJKCM2XX,,9777000.15,947562248.0,1303351534.1899996,1774006079.0,937785247.85,470654544.8100004,0.010318055801226897,0.7346939503864008
ID_MR_MRJKCN01,2024-08-01,ID,MRJKCN01,narizal,32951840.85,140613030.0,163506322.3,271736590.0,107661189.15,108230267.69999999,0.23434414897396066,0.6017088913200832
ID_MR_MRJKCV01,2024-08-01,ID,MRJKCV01,bdkurniawan,59550115.0,391611688.0,500054299.0,783223376.0,332061573.0,283169077.0,0.1520641922209431,0.6384568110745459
ID_MR_MRJKCV02,2024-08-01,ID,MRJKCV02,esuseli,47028307.0,218845508.0,305487351.0,437691016.0,171817201.0,132203665.0,0.21489272240397092,0.6979520708279743
ID_MR_MRJKCV03,2024-08-01,ID,MRJKCV03,pamulia,55034933.0,360885176.0,455507704.0,721770352.0,305850243.0,266262648.0,0.15249984388386184,0.6310978315163602
ID_MR_MRJKCV04,2024-08-01,ID,MRJKCV04,almaruta,172334813.0,543970597.0,802365449.0,1087941194.0,371635784.0,285575745.0,0.3168090590749338,0.737508105608142
ID_MR_MRJKCV06,2024-08-01,ID,MRJKCV06,mqmawardi,118166192.0,295392514.0,430461557.0,590785028.0,177226322.0,160323471.0,0.4000310989600772,0.7286263811682107
ID_MR_MRJKCV07,2024-08-01,ID,MRJKCV07,hnprasetyo,86754698.0,360082692.0,655602169.0,720165384.0,273327994.0,64563215.0,0.24092993061715945,0.9103494607844134
ID_MR_MRJKCV08,2024-08-01,ID,MRJKCV08,jdnovika,20528410.0,262518856.0,230074876.0,525037712.0,241990446.0,294962836.0,0.07819784952894965,0.43820638163987735
ID_MR_MRJKCV09,2024-08-01,ID,MRJKCV09,esiswanto,103105797.0,266677708.0,338133309.0,533355416.0,163571911.0,195222107.0,0.38663073030461176,0.6339737046937571
ID_MR_MRJKCV10,2024-08-01,ID,MRJKCV10,arosadi,97906868.0,423207179.0,734503231.0,846414358.0,325300311.0,111911127.0,0.2313450075004517,0.867782102297466
ID_MR_MRJKCV11,2024-08-01,ID,MRJKCV11,griyanto,82760245.0,482194792.0,755112179.0,964389584.0,399434547.0,209277405.0,0.17163239083677204,0.7829949550761635
ID_MR_MRJKCV12,2024-08-01,ID,MRJKCV12,derahman,174344984.0,509135488.0,668406305.0,1018270976.0,334790504.0,349864671.0,0.34243337600540624,0.6564129988518891
ID_MR_MRJKCV13,2024-08-01,ID,MRJKCV13,mifauzi,35323705.0,117551672.0,139837454.0,235103344.0,82227967.0,95265890.0,0.30049513034574277,0.5947914292533415
ID_MR_MRJKCV14,2024-08-01,ID,MRJKCV14,hanugroho,39054540.0,114012892.0,110873137.0,228025784.0,74958352.0,117152647.0,0.34254494658376,0.4862307018753634
ID_MR_MRJKCV15,2024-08-01,ID,MRJKCV15,lmimanda,88099906.0,192251252.0,311803426.0,384090160.0,104151346.0,72286734.0,0.45825400398432775,0.8117974852571074
ID_MR_MRJKCV16,2024-08-01,ID,MRJKCV16,mmpuspita,38757024.0,147887748.0,173456273.0,295775496.0,109130724.0,122319223.0,0.2620705536742638,0.58644571759927
ID_MR_MRJKCV17,2024-08-01,ID,MRJKCV17,otaufik,68279129.0,265029816.0,398396869.0,532292360.0,196750687.0,133895491.0,0.2576281040017022,0.7484549825212595
